stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
40.126367,,-88.309173,SWTCHGRSTRLWY:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/swtchgrstrlwy,SWTCHGRSTRLWY,,Switchgrass & Trailway (NW Corner),0,
40.10605167,,-88.17351333,WASHSCWD:5,http://www.cumtd.com/maps-and-schedules/bus-stops/info/washscwd,WASHSCWD,,Washington & Scottswood (NE Far Side),0,
40.10578,,-88.17368,WASHSCWD:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/washscwd,WASHSCWD,,Washington & Scottswood (SW Corner),0,
40.10584167,,-88.17339667,WASHSCWD:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/washscwd,WASHSCWD,,Washington & Scottswood (NE Corner),0,
40.0774707794,,-88.2634506226,GLNWLSH,http://www.cumtd.com/maps-and-schedules/bus-stops/info/glnwlsh,,,Galen and Wilshire,1,
40.09281167,,-88.20479667,VINMFRD:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/vinmfrd,VINMFRD,,Vine & Mumford (SE Corner),0,
40.0976676941,,-88.3077087402,BNTBRKCBLFLD:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bntbrkvblfld,BNTBRKCBLFLD,,Bentbrook & Cobblefield (NW Corner),0,
40.1143947856,,-88.2369689827,WHT2ND,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wht2nd,,,White and Second,1,
40.068075,,-88.244815,PDKELOTB:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pdkelotb,PDKELOTB,,Winfield Village Lot B,0,
40.087085,,-88.2411,OAKGTY,http://www.cumtd.com/maps-and-schedules/bus-stops/info/oakgty,,,Oak and Gerty,1,
40.10044667,,-88.31427333,STLYAMHT,http://www.cumtd.com/maps-and-schedules/bus-stops/info/stlyamht,,,Staley and Amherst,1,
40.08982,,-88.25767,PSPCTDVN:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pspctdvn,PSPCTDVN,,Prospect & Devonshire (NW Corner),0,
40.08964333,,-88.25704833,PSPCTDVN:6,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pspctdvn,PSPCTDVN,,Prospect & Devonshire (SE Far Side),0,
40.0849735,,-88.2624945,GLNPLMT,http://www.cumtd.com/maps-and-schedules/bus-stops/info/glnplmt,,,Galen and Plymouth,1,
40.11717,,-88.178395,SLYBKSMITH:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/slybksmith,SLYBKSMITH,,Slayback & Smith (NE Corner),0,
40.083865835,,-88.276325835,MATSWDSR,http://www.cumtd.com/maps-and-schedules/bus-stops/info/matswdsr,,,Mattis and Windsor,1,
40.1128284906,,-88.1890388406,MNLRMN,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mnlrmn,,,Main and Lierman,1,
40.12765667,,-88.16877833,PKNSCHKE:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pknschke,PKNSCHKE,,Perkins & Cherokee (NE Corner),0,
